tagId,timestamp,coordinates_x,coordinates_y
28261,1548053232.46,3430,5237
27005,1548053232.48,3337,726
28261,1548053232.50,3429,5237
27005,1548053232.53,3339,726
28261,1548053232.55,3427,5237
27005,1548053232.57,3339,726
28261,1548053232.59,3427,5237
27005,1548053232.61,3339,726
28261,1548053232.63,3427,5237
27005,1548053232.65,3337,725
28261,1548053232.67,3429,5237
27005,1548053232.69,3337,722
28261,1548053232.71,3429,5237
27005,1548053232.73,3336,722
28261,1548053232.75,3429,5242
27005,1548053232.77,3337,718
28261,1548053232.79,3429,5237
27005,1548053232.81,3336,718
28261,1548053232.84,3426,5235
27005,1548053232.86,3335,718
28261,1548053232.88,3426,5234
27005,1548053232.90,3336,722
28261,1548053232.92,3426,5234
27005,1548053232.94,3335,722
28261,1548053232.96,3425,5234
27005,1548053232.98,3335,722
28261,1548053233.00,3425,5233
27005,1548053233.03,3332,722
28261,1548053233.05,3425,5231
27005,1548053233.08,3333,722
28261,1548053233.10,3425,5230
27005,1548053233.12,3333,723
28261,1548053233.14,3424,5224
27005,1548053233.16,3333,723
28261,1548053233.18,3423,5220
27005,1548053233.20,3334,726
28261,1548053233.22,3423,5219
27005,1548053233.24,3334,726
28261,1548053233.26,3422,5218
27005,1548053233.28,3334,727
28261,1548053233.30,3420,5215
27005,1548053233.32,3335,727
28261,1548053233.34,3417,5209
27005,1548053233.36,3335,726
28261,1548053233.39,3417,5209
27005,1548053233.41,3335,723
28261,1548053233.43,3417,5205
27005,1548053233.45,3334,723
28261,1548053233.47,3415,5205
27005,1548053233.50,3333,723
28261,1548053233.52,3415,5205
27005,1548053233.54,3332,718
28261,1548053233.56,3414,5205
27005,1548053233.59,3333,723
28261,1548053233.61,3413,5205
27005,1548053233.63,3334,724
28261,1548053233.65,3409,5203
27005,1548053233.67,3334,718
28261,1548053233.69,3409,5203
27005,1548053233.71,3333,718
28261,1548053233.73,3404,5210
27005,1548053233.76,3334,724
28261,1548053233.78,3401,5210
27005,1548053233.80,3333,724
28261,1548053233.82,3398,5210
27005,1548053233.84,3333,727
28261,1548053233.86,3378,5210
27005,1548053233.89,3333,728
28261,1548053233.92,3337,5210
27005,1548053233.94,3334,730
28261,1548053233.96,3309,5210
27005,1548053233.98,3334,730
28261,1548053234.00,3301,5210
27005,1548053234.01,3335,730
28261,1548053234.04,3301,5203
27005,1548053234.06,3335,732
28261,1548053234.08,3301,5203
27005,1548053234.10,3335,730
28261,1548053234.12,3301,5210
27005,1548053234.14,3335,728
28261,1548053234.16,3301,5234
27005,1548053234.19,3335,728
28261,1548053234.21,3274,5234
27005,1548053234.23,3335,728
28261,1548053234.25,3245,5319
27005,1548053234.27,3335,728
28261,1548053234.29,3226,5418
27005,1548053234.32,3335,728
28261,1548053234.34,3202,5418
27005,1548053234.37,3338,727
28261,1548053234.39,3185,5458
27005,1548053234.41,3338,727
28261,1548053234.43,3177,5467
27005,1548053234.45,3342,723
28261,1548053234.47,3175,5467
27005,1548053234.49,3342,719
28261,1548053234.52,3175,5467
27005,1548053234.54,3342,719
28261,1548053234.56,3144,5486
27005,1548053234.58,3342,714
28261,1548053234.60,3109,5513
27005,1548053234.62,3338,714
28261,1548053234.65,3104,5513
27005,1548053234.67,3336,714
28261,1548053234.69,3104,5486
27005,1548053234.71,3335,705
28261,1548053234.73,3104,5486
27005,1548053234.75,3338,707
28261,1548053234.77,3101,5508
27005,1548053234.79,3338,707
28261,1548053234.81,3104,5486
27005,1548053234.83,3342,707
28261,1548053234.85,3104,5486
27005,1548053234.87,3342,707
28261,1548053234.90,3116,5486
27005,1548053234.92,3338,707
28261,1548053234.95,3116,5486
27005,1548053234.97,3339,713
28261,1548053234.99,3116,5485
27005,1548053235.01,3339,713
28261,1548053235.03,3116,5482
27005,1548053235.05,3339,707
28261,1548053235.07,3116,5502
27005,1548053235.09,3339,707
28261,1548053235.12,3147,5508
27005,1548053235.13,3341,707
28261,1548053235.15,3168,5508
27005,1548053235.18,3341,702
28261,1548053235.20,3168,5502
27005,1548053235.22,3341,702
28261,1548053235.24,3168,5442
27005,1548053235.26,3340,702
28261,1548053235.28,3168,5383
27005,1548053235.30,3337,700
28261,1548053235.32,3147,5383
27005,1548053235.34,3337,700
28261,1548053235.36,3129,5378
27005,1548053235.38,3337,699
28261,1548053235.40,3116,5365
27005,1548053235.42,3337,699
28261,1548053235.44,3102,5356
27005,1548053235.46,3337,698
28261,1548053235.48,3108,5338
27005,1548053235.50,3337,698
28261,1548053235.53,3108,5299
27005,1548053235.55,3337,698
28261,1548053235.57,3108,5272
27005,1548053235.59,3339,700
28261,1548053235.61,3108,5243
27005,1548053235.63,3339,700
28261,1548053235.65,3108,5218
27005,1548053235.67,3341,700
28261,1548053235.69,3108,5203
27005,1548053235.72,3341,702
28261,1548053235.74,3099,5182
27005,1548053235.76,3343,702
28261,1548053235.78,3086,5168
27005,1548053235.80,3341,702
28261,1548053235.83,3077,5140
27005,1548053235.85,3343,710
28261,1548053235.87,3077,5129
27005,1548053235.90,3343,702
28261,1548053235.92,3076,5122
27005,1548053235.94,3344,705
28261,1548053235.96,3076,5096
27005,1548053235.98,3344,706
28261,1548053236.00,3072,5056
27005,1548053236.02,3343,711
28261,1548053236.04,3052,5024
27005,1548053236.06,3343,717
28261,1548053236.08,3032,5006
27005,1548053236.10,3342,717
28261,1548053236.12,3024,4981
27005,1548053236.14,3342,711
28261,1548053236.16,3018,4956
27005,1548053236.18,3342,706
28261,1548053236.20,3016,4950
27005,1548053236.23,3344,706
28261,1548053236.25,3012,4950
27005,1548053236.27,3345,706
28261,1548053236.29,3009,4948
27005,1548053236.31,3345,708
28261,1548053236.34,3009,4919
27005,1548053236.36,3345,710
28261,1548053236.38,3009,4891
27005,1548053236.40,3343,710
28261,1548053236.42,3005,4886
27005,1548053236.44,3343,710
28261,1548053236.46,2999,4882
27005,1548053236.48,3343,708
28261,1548053236.50,3005,4879
27005,1548053236.52,3345,708
28261,1548053236.54,3009,4849
27005,1548053236.56,3345,710
28261,1548053236.58,3009,4775
27005,1548053236.60,3345,708
28261,1548053236.62,3005,4727
27005,1548053236.64,3345,708
28261,1548053236.67,3005,4695
27005,1548053236.69,3345,708
28261,1548053236.71,2999,4635
27005,1548053236.73,3343,708
28261,1548053236.75,2996,4597
27005,1548053236.77,3345,706
28261,1548053236.79,2993,4587
27005,1548053236.81,3347,702
28261,1548053236.84,2988,4560
27005,1548053236.92,3347,702
28261,1548053236.94,2984,4495
27005,1548053236.96,3347,698
28261,1548053236.98,2983,4452
27005,1548053237.00,3345,698
28261,1548053237.02,2983,4449
27005,1548053237.04,3343,697
28261,1548053237.07,2979,4414
27005,1548053237.09,3342,698
28261,1548053237.11,2979,4368
27005,1548053237.13,3344,697
28261,1548053237.15,2983,4338
27005,1548053237.17,3344,697
28261,1548053237.19,2983,4319
27005,1548053237.21,3344,698
28261,1548053237.23,2983,4304
27005,1548053237.25,3342,698
28261,1548053237.27,2983,4287
27005,1548053237.30,3343,697
28261,1548053237.31,2989,4282
27005,1548053237.34,3344,697
28261,1548053237.36,2989,4275
27005,1548053237.38,3344,696
28261,1548053237.40,2989,4267
27005,1548053237.42,3344,697
28261,1548053237.44,2989,4260
27005,1548053237.46,3343,698
28261,1548053237.48,3003,4256
27005,1548053237.50,3343,698
28261,1548053237.52,3027,4254
27005,1548053237.54,3343,698
28261,1548053237.56,3044,4229
27005,1548053237.58,3342,698
28261,1548053237.60,3063,4159
27005,1548053237.63,3342,697
28261,1548053237.65,3068,4094
27005,1548053237.67,3342,697
28261,1548053237.69,3068,4094
27005,1548053237.71,3342,697
28261,1548053237.73,3093,4070
27005,1548053237.75,3340,697
28261,1548053237.77,3134,4022
27005,1548053237.79,3339,698
28261,1548053237.81,3185,3981
27005,1548053237.84,3338,699
28261,1548053237.86,3219,3977
27005,1548053237.88,3339,699
28261,1548053237.91,3251,3952
27005,1548053237.93,3339,700
28261,1548053237.95,3278,3900
27005,1548053237.97,3339,700
28261,1548053237.99,3340,3826
27005,1548053238.01,3339,703
28261,1548053238.04,3402,3777
27005,1548053238.06,3339,703
28261,1548053238.08,3422,3768
27005,1548053238.10,3339,706
28261,1548053238.12,3430,3745
27005,1548053238.15,3339,707
28261,1548053238.17,3443,3673
27005,1548053238.19,3339,706
28261,1548053238.21,3454,3602
27005,1548053238.24,3339,707
28261,1548053238.26,3463,3551
27005,1548053238.28,3339,707
28261,1548053238.30,3478,3511
27005,1548053238.32,3339,708
28261,1548053238.34,3500,3489
27005,1548053238.36,3338,711
28261,1548053238.38,3534,3469
27005,1548053238.40,3337,711
28261,1548053238.42,3579,3454
27005,1548053238.44,3335,711
28261,1548053238.47,3627,3442
27005,1548053238.49,3336,711
28261,1548053238.51,3653,3437
27005,1548053238.53,3336,711
28261,1548053238.56,3653,3437
27005,1548053238.58,3336,717
28261,1548053238.60,3676,3433
27005,1548053238.62,3335,719
28261,1548053238.64,3702,3425
27005,1548053238.66,3334,719
28261,1548053238.68,3723,3411
27005,1548053238.70,3333,717
28261,1548053238.72,3768,3401
27005,1548053238.74,3333,717
28261,1548053238.76,3813,3401
27005,1548053238.79,3333,719
28261,1548053238.81,3847,3397
27005,1548053238.83,3333,718
28261,1548053238.85,3889,3389
27005,1548053238.87,3333,718
28261,1548053238.89,3924,3384
27005,1548053238.91,3333,721
28261,1548053238.94,3945,3375
27005,1548053238.96,3333,721
28261,1548053238.98,3993,3370
27005,1548053239.00,3333,721
28261,1548053239.02,4054,3370
27005,1548053239.04,3333,724
28261,1548053239.06,4128,3370
27005,1548053239.08,3335,721
28261,1548053239.11,4227,3370
27005,1548053239.13,3335,724
28261,1548053239.15,4295,3370
27005,1548053239.18,3333,724
28261,1548053239.20,4324,3379
27005,1548053239.22,3333,722
28261,1548053239.24,4344,3384
27005,1548053239.26,3333,722
28261,1548053239.28,4379,3379
27005,1548053239.30,3333,721
28261,1548053239.32,4430,3379
27005,1548053239.35,3335,721
28261,1548053239.37,4466,3370
27005,1548053239.40,3335,721
28261,1548053239.42,4482,3379
27005,1548053239.44,3335,714
28261,1548053239.46,4489,3370
27005,1548053239.48,3333,721
28261,1548053239.50,4520,3356
27005,1548053239.52,3333,714
28261,1548053239.54,4591,3356
27005,1548053239.56,3333,707
28261,1548053239.58,4646,3370
27005,1548053239.60,3333,704
28261,1548053239.62,4759,3370
27005,1548053239.64,3332,699
28261,1548053239.66,4860,3370
27005,1548053239.69,3332,699
28261,1548053239.71,4866,3370
27005,1548053239.73,3332,699
28261,1548053239.75,4876,3356
27005,1548053239.77,3331,694
28261,1548053239.80,4892,3343
27005,1548053239.82,3330,694
28261,1548053239.84,4902,3341
27005,1548053239.86,3329,692
28261,1548053239.88,4912,3340
27005,1548053239.90,3329,689
28261,1548053239.92,4921,3338
27005,1548053239.94,3329,689
28261,1548053239.96,4950,3336
27005,1548053239.98,3328,689
28261,1548053240.01,4986,3335
27005,1548053240.03,3326,686
28261,1548053240.05,5034,3333
27005,1548053240.07,3322,676
28261,1548053240.09,5082,3329
27005,1548053240.12,3322,676
28261,1548053240.14,5137,3322
27005,1548053240.16,3318,659
28261,1548053240.18,5194,3322
27005,1548053240.21,3312,648
28261,1548053240.23,5213,3303
27005,1548053240.25,3307,642
28261,1548053240.27,5228,3294
27005,1548053240.29,3306,642
28261,1548053240.31,5240,3291
27005,1548053240.33,3306,642
28261,1548053240.35,5246,3268
27005,1548053240.37,3302,633
28261,1548053240.39,5267,3238
27005,1548053240.41,3302,633
28261,1548053240.43,5297,3223
27005,1548053240.45,3297,632
28261,1548053240.48,5315,3223
27005,1548053240.50,3297,628
28261,1548053240.52,5325,3223
