courtsize,studentName,tagId,timestamp,coordinates_x,coordinates_y
,Trial,28261,1545031072.60,3559,3904
,Trial,28261,1545031072.71,3499,3819
,Trial,28261,1545031072.84,3477,3813
,Trial,28261,1545031072.95,3349,3802
,Trial,28261,1545031073.07,3265,3750
,Trial,28261,1545031073.19,3216,3700
,Trial,28261,1545031073.31,3195,3665
,Trial,28261,1545031073.44,3135,3610
,Trial,28261,1545031073.55,3069,3568
,Trial,28261,1545031073.67,3042,3546
,Trial,28261,1545031073.79,3014,3504
,Trial,28261,1545031073.91,3003,3467
,Trial,28261,1545031074.03,2999,3456
,Trial,28261,1545031074.16,2987,3431
,Trial,28261,1545031074.27,2821,3270
,Trial,28261,1545031074.39,2603,3080
,Trial,28261,1545031074.51,2512,2992
,Trial,28261,1545031074.63,2475,2941
,Trial,28261,1545031074.75,2454,2929
,Trial,28261,1545031074.87,2439,2924
,Trial,28261,1545031074.99,2385,2860
,Trial,28261,1545031075.11,2328,2795
,Trial,28261,1545031075.23,2320,2788
,Trial,28261,1545031075.35,2300,2780
,Trial,28261,1545031075.47,2277,2740
,Trial,28261,1545031075.59,2272,2689
,Trial,28261,1545031075.71,2261,2673
,Trial,28261,1545031075.83,2210,2586
,Trial,28261,1545031075.95,2135,2434
,Trial,28261,1545031076.07,2057,2291
,Trial,28261,1545031076.19,2002,1986
,Trial,28261,1545031076.31,2002,1692
,Trial,28261,1545031076.43,1965,1599
,Trial,28261,1545031076.55,2002,1508
,Trial,28261,1545031076.67,2002,1428
,Trial,28261,1545031076.79,2002,1379
,Trial,28261,1545031076.91,2002,1296
,Trial,28261,1545031077.03,2002,1222
,Trial,28261,1545031077.19,2002,1184
,Trial,28261,1545031077.27,2002,1163
,Trial,28261,1545031077.39,2002,1150
,Trial,28261,1545031077.51,2002,1116
,Trial,28261,1545031077.63,2002,1078
,Trial,28261,1545031077.75,2002,1066
,Trial,28261,1545031077.87,2002,1022
,Trial,28261,1545031077.99,2002,972
,Trial,28261,1545031078.10,2027,959
,Trial,28261,1545031078.23,2134,949
,Trial,28261,1545031078.34,2269,923
,Trial,28261,1545031078.47,2446,899
,Trial,28261,1545031078.58,2616,896
,Trial,28261,1545031078.70,2663,891
,Trial,28261,1545031078.82,2706,891
,Trial,28261,1545031078.94,2742,883
,Trial,28261,1545031079.06,2755,878
,Trial,28261,1545031079.18,2764,875
,Trial,28261,1545031079.30,2769,875
,Trial,28261,1545031079.42,2778,868
,Trial,28261,1545031079.54,2778,868
,Trial,28261,1545031079.66,2784,867
,Trial,28261,1545031079.78,2784,867
,Trial,28261,1545031079.90,2790,867
,Trial,28261,1545031080.02,2790,867
,Trial,28261,1545031080.14,2790,867
,Trial,28261,1545031080.26,2790,871
,Trial,28261,1545031080.38,2797,871
,Trial,28261,1545031080.50,2797,875
,Trial,28261,1545031080.62,2797,871
,Trial,28261,1545031080.74,2800,869
,Trial,28261,1545031080.86,2800,869
,Trial,28261,1545031080.98,2791,869
,Trial,28261,1545031081.10,2791,866
,Trial,28261,1545031081.22,2800,861
,Trial,28261,1545031081.34,2800,866
,Trial,28261,1545031081.46,2791,869
,Trial,28261,1545031081.58,2791,869
,Trial,28261,1545031081.70,2791,871
,Trial,28261,1545031081.82,2791,871
,Trial,28261,1545031081.94,2791,871
